country,suicides_no
Antigua and Barbuda,1
Argentina,3073
Armenia,74
Australia,3027
Austria,1251
Belgium,1867
Belize,26
Brazil,11163
Chile,1838
Colombia,2332
Croatia,739
Cuba,1511
Cyprus,40
Czech Republic,1387
Denmark,564
Ecuador,1073
Estonia,195
Finland,731
Georgia,192
Germany,10088
Greece,529
Grenada,0
Guatemala,494
Hungary,1868
Iceland,40
Israel,342
Italy,3988
Japan,23092
Kazakhstan,2872
Kyrgyzstan,417
Latvia,387
Lithuania,896
Luxembourg,64
Malta,34
Mauritius,104
Mexico,6234
Netherlands,1873
Nicaragua,315
Norway,590
Panama,110
Poland,5420
Puerto Rico,226
Qatar,66
Republic of Korea,13510
Romania,2228
Russian Federation,25432
Saint Vincent and Grenadines,3
Serbia,1062
Seychelles,7
Singapore,329
Slovenia,422
South Africa,482
Spain,3604
Sweden,1182
Switzerland,1073
Thailand,4205
Turkey,1532
Turkmenistan,133
Ukraine,7574
United Kingdom,4910
United States,44189
Uruguay,630
